Nr,FirstName,LastName,Organisation,Status
102,Vilumaa, Hedi,Estonian Evangelical Lutheran Church, Estnische Evangelisch-Lutherische Kirche,Delegate
103,von Wahl, Bettina,United Evangelical-Lutheran Church of Germany, Vereinigte Evangelisch-Lutherische Kirche Deutschlands (VELKD),Delegate
104,Vrabec, Samir,Evangelical Lutheran Church in Croatia, Evangelisch-Lutherische Kirche in Kroatien,Delegate
105,Waechter, Meike,Reformierter Bund,Delegate
106,Weber, Charlotte,Evangelical Church in Central Germany, Evangelische Kirche in Mitteldeutschland,Delegate
107,Weber-Berg, Christoph,Protestant Church in Switzerland, Evangelisch-reformierte Kirche Schweiz,Delegate
108,Weißker-Vorgias, Silke,German-speaking Protestant Church in Greece, Evangelische Kirche Deutscher Sprache in Griechenland,Delegate
109,Welschen, Johannes,Moravian Church, European Continental Province, Evangelische Brüder Unität – Herrnhuter Brüdergemeinde,Delegate
110,Witte-Knoblauch, Katja,Evangelical Lutheran Church in Brunswick, Evangelisch-Lutherische Landeskirche in Braunschweig,Delegate
111,Wulz, Gabriele,Evangelical Lutheran Church in Württemberg, Evangelische Landeskirche in Württemberg,Delegate
112,Wüst, Dorothee,Evangelical Church of Palatinate, Evangelische Kirche der Pfalz,Delegate
113,Ziaja, Thomas,Evangelical Church of Bremen, Bremische Evangelische Kirche,Delegate
114,Zikeli, Daniel,Evangelical Church of the Augsburg Confession in Romania, Evangelische Kirche A.B.in Rumänien,Delegate
115,Zürcher, Stefan,United Methodist Church Central Conference of Central and Southern Europe, Ev.-Methodistische Kirche in der Zentralkonferenz von Mittel- und Südeuropa,Delegate
1,Arnold, Jochen,Evangelical Church of Westphalia, Evangelische Kirche von Westfalen,Advisor
2,Berting, Anna,Evangelical Church of Hesse Electorate-Waldeck, Evangelische Kirche von Kurhessen-Waldeck,Expert
3,Chavel, Frédéric,Protestant Institute of Theology, Paris, Protestantisches Institut für Theologie, Paris,Expert
4,Fröhlich, Hans Bruno,Evangelical Church of the Augsburg Confession in Romania, Evangelische Kirche A.B.in Rumänien,Expert
5,Grosshans, Hans-Peter,Evangelisch-Theologische Fakultät, Universität Münster,Expert
6,Haaks, Enno,Gustav-Adolf-Werk e.V. (GAW),Expert
7,Hatzinger, Katrin,Evangelical Church in Germany, Evangelische Kirche in Deutschland (EKD),Expert
8,Jaillet, Elio,Protestant Church in Switzerland, Evangelisch-reformierte Kirche Schweiz,Expert
9,Körtner, Ulrich,Institut für Systematische Theologie & Religionswissenschaft, Universität Wien,Expert
10,Müller, Jens Felix,Evangelical Church in the Rhineland, Evangelische Kirche im Rheinland,Advisor
11,Nimmo, Paul,University of Aberdeen,Expert
12,Oefele, Christine,Protestant Church in Switzerland, Evangelisch-reformierte Kirche Schweiz,Expert
13,Peters, Frank,Evangelical Church in the Rhineland, Evangelische Kirche im Rheinland,Expert
14,Schenk, Susanne,Evangelical Lutheran Church in Württemberg, Evangelische Landeskirche in Württemberg,Expert
15,Schliesser, Christine,Centre Faith and Society, University of Fribourg, Zentrum Glaube und Gesellschaft, Universität Freiburg,Expert
16,Thaarup, Jørgen,The United Methodist Church - Northern Europe & Eurasia Central Conference, Evangelisch-methodistische Kirche, Nordische Region,Expert
17,Van den Berg, Mariecke,The Dutch Reformed Church, Niederländisch-reformierte Kirche,Expert
18,Zell, Annegret Waltraud,Waldensian Evangelical Church, Evangelische Waldenserkirche,Expert
1,Fischer, Mario,Communion of Protestant Churches in Europe (CPCE), Gemeinschaft Evangelischer Kirchen in Europa (GEKE),General Secretary
